Printing the following information for each pair of Lorentz vectors being added to the stack: momNumber (1 or 2) || threeMom vector Cartesian (x,y,z) || threeMomSpherical (r,theta,phi) || magnitude (of 4 vector) || Energy (MeV/c)
MomNumber: 1 || Cartesian vector: (45.3573, 10.3656, -24.2875) || Spherical Vector: (52.4844, 2.0519, 0.224673) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-45.3573, -10.3656, 24.2875) || Spherical Vector: (52.4844, 1.08969, -2.91692) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (47.5845, 18.0829, -12.7804) || Spherical Vector: (52.4844, 1.81678, 0.363162) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-47.5845, -18.0829, 12.7804) || Spherical Vector: (52.4844, 1.32482, -2.77843) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-32.539, 40.7231, -6.12034) || Spherical Vector: (52.4844, 1.68767, 2.24495) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (32.539, -40.7231, 6.12034) || Spherical Vector: (52.4844, 1.45392, -0.896647) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-39.569, -8.69881, 33.3653) || Spherical Vector: (52.4844, 0.881857, -2.9252) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (39.569, 8.69881, -33.3653) || Spherical Vector: (52.4844, 2.25974, 0.216397) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-21.3442, 30.7252, 36.8103) || Spherical Vector: (52.4844, 0.793497, 2.17794) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (21.3442, -30.7252, -36.8103) || Spherical Vector: (52.4844, 2.3481, -0.963649) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (39.2087, -34.4979, 5.21456) || Spherical Vector: (52.4844, 1.47128, -0.721572) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-39.2087, 34.4979, -5.21456) || Spherical Vector: (52.4844, 1.67031, 2.42002) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-28.7129, -19.6269, 39.3061) || Spherical Vector: (52.4844, 0.72438, -2.54199) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (28.7129, 19.6269, -39.3061) || Spherical Vector: (52.4844, 2.41721, 0.599605) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-10.5504, 41.5522, 30.2774) || Spherical Vector: (52.4844, 0.955888, 1.81945) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (10.5504, -41.5522, -30.2774) || Spherical Vector: (52.4844, 2.1857, -1.32214) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-24.4446, -22.8864, -40.414) || Spherical Vector: (52.4844, 2.44967, -2.3891) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
